Aircraft,MTOW (kg),Wingspan (m),Length (m),Height (m),Engine Thrust (kN),Fuel Capacity (L),Passenger Capacity ,Cruising Speed (km/h),Landing Distance (m),Takeoff Distance (m),Service Ceiling (m),Maximum Range (km)
Boeing 747-400,396890,64.9,70.6,19.4,276,216840,416,912,2179,3018,13700,12200
Boeing 777-300ER,299370,60.9,73.9,18.5,415,171176,368,950,1630,3050,13140,11120
Boeing 787-9 Dreamliner,254000,60.1,62.8,17,280,126206,296,903,1520,2900,13100,14010
Airbus A380-800,575000,79.8,72.7,24.1,356,320000,555,945,2900,2900,13100,15200
Airbus A350-900,280000,64.8,66.8,17.1,374,141000,350,903,2000,2600,13100,15000
McDonell Douglas DC-10,259500,47.3,55.5,17.7,222,159000,380,908,2000,3100,12800,10600
Boeing 737-800,79000,35.8,39.5,12.5,121,26020,162,842,1780,2600,12500,5765
Boeing 737 MAX 8,82190,35.9,39.5,12.3,120,26020,178,842,1780,2600,12500,6570
Airbus A320 Neo,79000,35.8,37.6,11.8,120,26730,194,828,1500,2100,12100,6300
Airbus A321,93500,35.8,44.5,11.8,133,30030,220,828,1500,2100,12100,5950
McDonell Douglas MD-80,67800,32.9,45.1,9,98,22100,155,873,1600,2000,11000,3900
Comac C919,72500,35.8,38.9,11.9,120,25000,168,834,1800,2000,12000,5555
Embraer E175,40370,26,31.7,9.8,82,11625,78,871,1280,1800,12500,3700
Embraer E195-E2,60700,35.1,41.5,10.9,104,12860,146,871,1500,2000,12500,4815
Bombardier CRJ900,38330,24.9,36.2,7.5,86,8000,90,829,1622,1944,12500,2900
ATR 72-600,23000,27.1,27.2,7.7,19.6,5000,70,510,1335,1315,7620,1528
MRJ90,42800,29.2,35.8,10.4,86,12100,92,828,1500,2000,12500,3704
